movie_name,describe,introduce,evalute,serial_number,star
两杆大烟枪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran1998/英国/剧情喜剧犯罪,328715人评价,45,9.1
飞越疯人院,自由万岁。,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...1975/美国/剧情,332650人评价,46,9.0
死亡诗社,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989/美国/剧情,356572人评价,47,9.0
V字仇杀队,一张面具背后的理想与革命。,导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔莉·波特曼NataliePor...2005/美国英国德国/剧情动作科幻惊悚,540157人评价,48,8.8
指环王2：双塔奇兵,承前启后的史诗篇章。,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2002/美国新西兰/剧情动作奇幻冒险,342389人评价,49,9.0
海豚湾,海豚的微笑，是世界上最高明的伪装。,导演:LouiePsihoyos主演:JohnChisholm/Mandy-RaeCruikshank/Char...2009/美国/纪录片,218969人评价,50,9.3
教父2,优雅的孤独。,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974/美国/剧情犯罪,243229人评价,51,9.1
指环王1：魔戒再现,传说的开始。,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2001/新西兰美国/剧情动作奇幻冒险,383328人评价,52,8.9
饮食男女,人生不能像做菜，把所有的料都准备好了才下锅。,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994/台湾美国/剧情家庭,263528人评价,53,9.1
美丽心灵,爱是一切逻辑和原由。,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...2001/美国/传记剧情,379978人评价,54,8.9
素媛,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013/韩国/剧情,250273人评价,55,9.1
情书,暗恋的极致。,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...1995/日本/剧情爱情,470812人评价,56,8.8
狮子王,动物版《哈姆雷特》。,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...1994/美国/剧情动画冒险歌舞家庭,361780人评价,57,8.9
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...1987/英国意大利中国大陆法国美国/剧情传记历史,257875人评价,58,9.1
钢琴家,音乐能化解仇恨。,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...2002/法国德国英国波兰/剧情传记历史战争音乐,250705人评价,59,9.1
美国往事,往事如烟，无处祭奠。,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...1984/意大利美国/犯罪剧情,215821人评价,60,9.1
小鞋子,奔跑的孩子是天使。,导演:马基德·马基迪MajidMajidi主演:AmirFarrokhHashemian/默罕...1997/伊朗/剧情家庭儿童,182106人评价,61,9.2
七宗罪,警察抓小偷，老鼠玩死猫。,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...1995/美国/剧情犯罪悬疑惊悚,523563人评价,62,8.8
本杰明·巴顿奇事,在时间之河里感受溺水之苦。,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...2008/美国/剧情爱情奇幻,489374人评价,63,8.8
被嫌弃的松子的一生,以戏谑来戏谑戏谑。,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...2006/日本/剧情歌舞,378035人评价,64,8.9
致命魔术,孪生蝙蝠侠大战克隆金刚狼。,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...2006/美国英国/剧情悬疑惊悚,428575人评价,65,8.8
西西里的美丽传说,美丽无罪。,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...2000/意大利美国/剧情战争情色,455915人评价,66,8.8
黑客帝国,视觉革命。,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...1999/美国澳大利亚/动作科幻,360250人评价,67,8.9
让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010/中国大陆香港/剧情喜剧动作西部,797292人评价,68,8.7
